fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.9496969767166127,0.8689977790116573,1.2861639037272232
2,0.500_2.500,0.6438044150009087,0.6240748853421354,0.9018923935673259
3,1.000_1.000,0.38526004367180694,0.3582250000000045,0.5448399788011198
4,1.000_2.000,0.35528518520291036,0.2576700639599582,0.5023683937929985
5,1.390_1.500,0.39990601682749743,0.3820200685947306,0.5655260322437733
6,2.000_1.000,0.715128243743734,0.6895500000000164,1.0113440611384408
7,2.000_2.000,0.9459337725995008,0.8703207727442193,1.3356362526937129
8,2.280_0.500,0.4052019133990143,0.38997588888888246,0.5730413769740746
9,2.280_2.500,0.4052159917870962,0.3899999999999936,0.5730619512757763
