fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.8906826379480208,0.8692052960395813,1.2596154663563417
2,0.500_2.500,0.882857265881947,0.8211652636528015,1.2485487190498716
3,1.000_1.000,0.17944820828846308,0.170864086508417,0.2537778152580021
4,1.000_2.000,0.17598080327041485,0.16310077540999127,0.24810428905949655
5,1.390_1.500,0.33846554050337024,0.32065439501911414,0.4722798603133902
6,2.000_1.000,0.3503336234058299,0.2525550277052422,0.49544656157424016
7,2.000_2.000,0.4011661084098872,0.31735342741012573,0.5673345512776978
8,2.280_0.500,0.6373826299040786,0.5601121522982849,0.8846606359417212
9,2.280_2.500,0.4936344676664701,0.48183686971663603,0.6981045590287481
