fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.7766928037609714,0.7766591736437678,1.098404442206296
2,0.500_2.500,0.8886026512766113,0.8555693831756079,1.2564694766343227
3,1.000_1.000,0.355006399225845,0.3515721169673428,0.5016243198626247
4,1.000_2.000,0.21902481997107387,0.21707826953907564,0.3090477631168438
5,1.390_1.500,0.3322340144935019,0.32302304163392315,0.463994928010426
6,2.000_1.000,0.23209155874419315,0.21080148506623048,0.3252010334275641
7,2.000_2.000,0.1906542044869702,0.1744679222904329,0.26861514048652557
8,2.280_0.500,0.631790092354027,0.5865301156375059,0.8773386082199577
9,2.280_2.500,0.5097172457690884,0.4766925795917111,0.720341945592865
