fold,test_archivo,rmse,mae,hidden_sizes,dropout,learning_rate,batch_size,weight_decay
1,0.500_0.500,0.2304454156279148,0.2085821902599684,[202],0.4646468944854215,0.00022627142706658414,89,4.789718646804902e-05
2,0.500_2.500,0.1846051573495359,0.1380184636413887,[115],0.13490094227070654,0.006378126427658362,95,0.0008340604288275535
3,1.000_1.000,0.05586672390961916,0.04726735815948465,[97],0.18318092164684585,0.000816845589476017,104,3.972110727381911e-06
4,1.000_2.000,0.03886087229492243,0.03206384753822882,[256],0.0016792649867068757,0.000845172963251723,72,3.2653104430108846e-06
5,1.390_1.500,0.07792413804330144,0.06827935355126191,[139],0.4696783982751454,0.00026376180452039995,55,3.3801748043088417e-06
6,2.000_1.000,0.11326291898513864,0.11110625045197042,"[95, 154]",0.07046211248738132,0.0040215545266902904,24,0.0009133995846860973
7,2.000_2.000,0.47121882892360467,0.45026566188207406,[101],0.2064242320092753,0.0001227955259088122,107,6.909539413095389e-06
8,2.280_0.500,0.1967238924065144,0.15658865814408301,[63],0.09837871246874832,0.00013944256595486957,89,1.6060341524403175e-05
9,2.280_2.500,0.2166921294832898,0.20256371005897408,"[150, 130]",0.07547360788111898,0.005665033272450021,74,0.0004756508518232076
