fold,test_archivo,rmse,mae
1,0.500_0.500,0.49294935445155247,0.49294705890230894
2,0.500_2.500,0.48090961579443875,0.480545820710416
3,1.000_1.000,0.27101803050736706,0.2701246550560532
4,1.000_2.000,0.055877026172572786,0.04949552761618969
5,1.390_1.500,0.2290065663873962,0.1882791127380707
6,2.000_1.000,0.20010921749575328,0.15925181058835605
7,2.000_2.000,0.21751013038950795,0.17790570598166575
8,2.280_0.500,0.39862436703653015,0.38656608818435956
9,2.280_2.500,0.4194090215982318,0.3995667310668488
