fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.39009321529125024,0.3855200991042782,0.5516231749460073
2,0.500_2.500,0.17397002461265867,0.13627547606309168,0.24579598728559002
3,1.000_1.000,0.08014510468548214,0.0750157868160921,0.11150584846524708
4,1.000_2.000,0.21962172052748338,0.21801198700710187,0.31002586740771343
5,1.390_1.500,0.20783572995251356,0.18514614776058502,0.2935236639224542
6,2.000_1.000,0.16268414333874776,0.13048739379010588,0.2266870306319401
7,2.000_2.000,0.10775638297770784,0.10374117207607167,0.15114347445800172
8,2.280_0.500,0.20571336646506277,0.17406376368469706,0.2905817510454127
9,2.280_2.500,0.2506785544389364,0.24871613323853725,0.35440133568980325
