fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.6705494600366286,0.6692614629823324,0.948039090731286
2,0.500_2.500,0.713335133909442,0.7045833362808711,1.0059248095684008
3,1.000_1.000,0.2819640531297195,0.27732108585974746,0.39571693780503714
4,1.000_2.000,0.2005318290233484,0.19613421724091912,0.2818867524149404
5,1.390_1.500,0.32880001248329843,0.3194662609262062,0.46044291314940583
6,2.000_1.000,0.33667687471682384,0.33373489839391474,0.475509336938834
7,2.000_2.000,0.2598706999883475,0.20247829263775674,0.35921016499210445
8,2.280_0.500,0.6156741550918765,0.5689161550998606,0.8529481499141538
9,2.280_2.500,0.49573149831607694,0.48044151020552794,0.6980577130840606
