fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.8345170197797374,0.7232093281510272,1.0972909940203646
2,0.500_2.500,0.804585783421429,0.7589433131535498,1.1346007552258053
3,1.000_1.000,0.4483859944289147,0.4449999999999984,0.6341135544995159
4,1.000_2.000,0.5,0.5,0.7071067811865478
5,1.390_1.500,0.4312914371910689,0.4204820170559864,0.608663128693153
6,2.000_1.000,0.7905694150420949,0.75,1.118033988749895
7,2.000_2.000,1.1198146718671171,1.0026565995525727,1.5834940310603127
8,2.280_0.500,0.4052159917870962,0.3899999999999936,0.5730619512757762
9,2.280_2.500,0.4052159917870962,0.3899999999999936,0.5730619512757763
