fold,test_archivo,rmse,mae,error_promedio
1,0.500_0.500,0.9567400374015514,0.8779622431982432,1.2971783968507113
2,0.500_2.500,0.9356046214429165,0.861998001756699,1.3222999552371284
3,1.000_1.000,0.37928461608665676,0.34710000000000385,0.5363894480692206
4,1.000_2.000,0.355787012743794,0.27489710789766586,0.50313365723215
5,1.390_1.500,0.43940674182659856,0.4343873328269171,0.6213700408747128
6,2.000_1.000,0.7127324322633258,0.6875999999999838,1.00795587204996
7,2.000_2.000,0.9397500593029057,0.8652223015650998,1.3262780354407908
8,2.280_0.500,0.4052011824596107,0.3899743333333269,0.573040269833198
9,2.280_2.500,0.4052159917870962,0.3899999999999936,0.5730619512757763
