Fold,Test Location,RMSE (m),MAE (m),Error Promedio (m)
1,0.500_0.500,0.5,0.5,0.7071067811865478
2,0.500_2.500,0.5,0.5,0.7071067811865478
3,1.000_1.000,0.4973322613216043,0.49603977591036413,0.7015927862247108
4,1.000_2.000,0.4857747890920891,0.4769733036707453,0.6789420699530837
5,1.390_1.500,0.4316844287800609,0.4034427141268064,0.5774580733038978
6,2.000_1.000,0.5465001417908104,0.5365090497737617,0.7667933812538091
7,2.000_2.000,0.39969722881245673,0.37959172259507235,0.5605565878799499
8,2.280_0.500,0.4730416483895592,0.41057611111110504,0.6204457786044415
9,2.280_2.500,0.40569643933535204,0.39035797665369004,0.5735535970889848
