timestamp_ms,A1,A2,A3,x_calc,y_calc,error,x_real,y_real
3915040,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5
3915050,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5
3915170,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5
3915190,0.69,2.18,2.93,0.6208812949640284,0.14853333333333324,0.3716733851783825,0.5,0.5
3915200,0.69,2.22,2.93,0.5892266187050357,0.14853333333333324,0.3626157846306634,0.5,0.5
3915320,0.69,2.22,2.97,0.5892266187050357,0.10919999999999981,0.4008566196104712,0.5,0.5
3915340,0.7,2.22,2.97,0.5917266187050357,0.1115166666666664,0.3991654705217336,0.5,0.5
3915350,0.7,2.2,2.97,0.6076258992805753,0.1115166666666664,0.40311615506418313,0.5,0.5
3915470,0.7,2.2,2.96,0.6076258992805753,0.12140000000000009,0.3936004245373123,0.5,0.5
3915490,0.69,2.2,2.96,0.6051258992805753,0.1190833333333335,0.3951568823189012,0.5,0.5
3915500,0.69,2.22,2.96,0.5892266187050357,0.1190833333333335,0.3912274229012815,0.5,0.5
3915620,0.69,2.22,2.96,0.5892266187050357,0.1190833333333335,0.3912274229012815,0.5,0.5
3915640,0.71,2.22,2.96,0.5942625899280574,0.12374999999999994,0.3878782004185659,0.5,0.5
3915650,0.71,2.22,2.96,0.5942625899280574,0.12374999999999994,0.3878782004185659,0.5,0.5
3915770,0.71,2.22,2.97,0.5942625899280574,0.11386666666666626,0.3974724983832926,0.5,0.5
3915790,0.7,2.22,2.97,0.5917266187050357,0.1115166666666664,0.3991654705217336,0.5,0.5
3915800,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.40107136856799347,0.5,0.5
3915920,0.7,2.21,2.93,0.5996942446043164,0.15084999999999985,0.36310420667795273,0.5,0.5
3915940,0.74,2.21,2.93,0.6100539568345322,0.16044999999999968,0.35693987717112435,0.5,0.5
3915950,0.74,2.24,2.93,0.5860431654676257,0.16044999999999968,0.35028221311349717,0.5,0.5
3916070,0.74,2.24,2.95,0.5860431654676257,0.14084999999999975,0.3693130769735745,0.5,0.5
3916090,0.69,2.24,2.95,0.5731834532374097,0.12893333333333334,0.37821460698770376,0.5,0.5
3916100,0.69,2.23,2.95,0.5812230215827336,0.12893333333333334,0.37985214274259443,0.5,0.5
3916220,0.69,2.23,2.97,0.5812230215827336,0.10919999999999981,0.3991513738358286,0.5,0.5
3916240,0.72,2.23,2.97,0.5888309352517983,0.11624999999999966,0.3938971916093202,0.5,0.5
3916250,0.72,2.21,2.97,0.6048021582733811,0.11624999999999966,0.3978034123518288,0.5,0.5
3916390,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.40107136856799347,0.5,0.5
3916400,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.40107136856799347,0.5,0.5
3916540,0.72,2.21,2.97,0.6048021582733811,0.11624999999999966,0.3978034123518288,0.5,0.5
3916550,0.72,2.21,2.97,0.6048021582733811,0.11624999999999966,0.3978034123518288,0.5,0.5
3916670,0.72,2.21,2.95,0.6048021582733811,0.13598333333333318,0.37880288540330587,0.5,0.5
3916690,0.7,2.21,2.95,0.5996942446043164,0.13124999999999992,0.3819888806067859,0.5,0.5
3916700,0.7,2.19,2.95,0.6155215827338129,0.13124999999999992,0.3864217884350276,0.5,0.5
3916820,0.7,2.19,2.96,0.6155215827338129,0.12140000000000009,0.39583228276294635,0.5,0.5
3916840,0.73,2.19,2.96,0.6232374100719422,0.12855,0.391359887751977,0.5,0.5
3916850,0.73,2.23,2.96,0.5914388489208631,0.12855,0.38253910335019664,0.5,0.5
3916970,0.73,2.23,3.0,0.5914388489208631,0.08881666666666661,0.4212277254681648,0.5,0.5
3916990,0.7,2.23,3.0,0.5837230215827337,0.08166666666666669,0.4266290216578341,0.5,0.5
3917000,0.7,2.25,3.0,0.5676079136690646,0.08166666666666669,0.42376126270396813,0.5,0.5
3917120,0.7,2.25,2.94,0.5676079136690646,0.1410666666666668,0.36524507904756415,0.5,0.5
3917140,0.69,2.25,2.94,0.5651079136690645,0.1387500000000002,0.3670702969763942,0.5,0.5
3917150,0.69,2.24,2.94,0.5731834532374097,0.1387500000000002,0.36858836162818814,0.5,0.5
3917270,0.69,2.24,2.92,0.5731834532374097,0.1582833333333336,0.34946544622541686,0.5,0.5
3917290,0.69,2.24,2.92,0.5731834532374097,0.1582833333333336,0.34946544622541686,0.5,0.5
3917300,0.69,2.21,2.92,0.5971942446043164,0.1582833333333336,0.35527032167348466,0.5,0.5
3917420,0.69,2.21,2.94,0.5971942446043164,0.1387500000000002,0.3740966234600408,0.5,0.5
