timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
2389850,A3,1.510,-82.0,0.924,2.080
2389870,A2,2.850,-82.1,0.965,2.080
2389880,A1,2.430,-81.8,0.991,2.104
2390000,A3,1.540,-81.8,0.991,2.089
2390020,A2,2.820,-81.9,1.022,2.089
2390030,A1,2.420,-81.9,1.013,2.081
2390150,A3,1.540,-81.6,1.013,2.081
2390170,A2,2.850,-82.4,0.982,2.081
2390180,A1,2.430,-81.3,0.991,2.089
2390300,A3,1.550,-81.6,0.991,2.084
2390320,A2,2.870,-81.9,0.971,2.084
2390330,A1,2.410,-81.5,0.953,2.068
2390450,A3,1.530,-82.1,0.953,2.078
2390470,A2,2.850,-82.2,0.974,2.078
2390480,A1,2.420,-81.5,0.982,2.086
2390600,A3,1.510,-81.2,0.982,2.096
2390620,A2,2.850,-81.9,0.982,2.096
2390630,A1,2.420,-81.7,0.982,2.096
2390750,A3,1.530,-82.0,0.982,2.086
2390770,A2,2.880,-81.9,0.952,2.086
2390780,A1,2.400,-81.7,0.934,2.070
2390900,A3,1.530,-81.9,0.934,2.070
2390920,A2,2.850,-82.1,0.965,2.070
2390930,A1,2.420,-81.7,0.982,2.086
2391050,A3,1.530,-81.4,0.982,2.086
2391070,A2,2.870,-81.9,0.962,2.086
2391080,A1,2.400,-81.7,0.945,2.070
2391200,A3,1.540,-82.2,0.945,2.065
2391220,A2,2.850,-81.9,0.965,2.065
2391230,A1,2.420,-82.1,0.982,2.081
2391350,A3,1.520,-82.4,0.982,2.091
2391370,A2,2.870,-82.4,0.962,2.091
2391380,A1,2.420,-81.7,0.962,2.091
2391500,A3,1.520,-82.3,0.962,2.091
2391520,A2,2.860,-82.4,0.972,2.091
2391530,A1,2.400,-81.5,0.955,2.075
2391650,A3,1.490,-82.4,0.955,2.090
2391680,A1,2.420,-81.7,0.972,2.106
2391950,A3,1.520,-81.2,0.972,2.091
2391970,A2,2.830,-81.8,1.003,2.091
2391980,A1,2.440,-81.6,1.020,2.107
2392100,A3,1.530,-82.3,1.020,2.102
2392120,A2,2.870,-81.9,0.979,2.102
2392130,A1,2.400,-82.4,0.945,2.070
2392250,A3,1.520,-82.4,0.945,2.075
2392270,A2,2.860,-82.0,0.955,2.075
2392280,A1,2.430,-81.6,0.981,2.099
2392400,A3,1.540,-81.8,0.981,2.089
2392420,A2,2.840,-82.3,1.001,2.089
2392430,A1,2.420,-82.0,0.993,2.081
2392550,A3,1.520,-81.9,0.993,2.091
2392570,A2,2.850,-82.0,0.982,2.091
2392580,A1,2.440,-82.0,1.000,2.107
2392700,A3,1.550,-81.4,1.000,2.092
2392720,A2,2.850,-88.7,1.000,2.092
2392730,A1,2.390,-82.3,0.956,2.052
2392850,A3,1.510,-82.4,0.956,2.072
2392870,A2,2.870,-81.8,0.936,2.072
2392880,A1,2.420,-82.5,0.962,2.096
2393000,A3,1.520,-82.0,0.962,2.091
2393020,A2,2.870,-81.5,0.962,2.091
2393030,A1,2.420,-82.0,0.962,2.091
2393150,A3,1.530,-82.8,0.962,2.086
2393170,A2,2.820,-82.0,1.013,2.086
2393180,A1,2.390,-82.2,0.987,2.062
2393300,A3,1.520,-83.2,0.987,2.067
2393320,A2,2.870,-81.9,0.936,2.067
2393330,A1,2.390,-82.0,0.936,2.067
2393450,A3,1.520,-83.2,0.936,2.067
2393470,A2,2.870,-81.6,0.936,2.067
2393480,A1,2.440,-82.0,0.979,2.107
2393600,A3,1.540,-82.1,0.979,2.097
2393620,A2,2.860,-82.1,0.990,2.097
2393630,A1,2.450,-82.1,0.998,2.105
2393750,A3,1.530,-81.9,0.998,2.110
2393770,A2,2.850,-82.6,1.009,2.110
