timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
4568720,A3,3.710,-81.5,2.912,0.637
4568740,A1,2.910,-83.6,2.891,0.617
4568750,A2,0.340,-83.3,2.892,0.617
4568870,A3,3.710,-81.9,2.892,0.617
4568890,A1,2.970,-83.2,2.956,0.676
4568900,A2,0.350,-82.6,2.954,0.676
4569020,A3,3.700,-81.1,2.954,0.688
4569040,A1,2.910,-83.3,2.891,0.630
4569050,A2,0.360,-82.9,2.890,0.630
4569170,A3,3.700,-81.3,2.890,0.630
4569190,A1,2.980,-83.7,2.964,0.698
4569200,A2,0.340,-82.7,2.966,0.698
4569320,A3,3.680,-81.7,2.966,0.723
4569340,A1,2.860,-87.4,2.840,0.606
4569350,A2,0.360,-82.9,2.838,0.606
4569470,A3,3.680,-81.4,2.838,0.606
4569490,A1,2.960,-83.4,2.943,0.703
4569500,A2,0.380,-82.4,2.940,0.703
4569620,A3,3.700,-80.9,2.940,0.679
4569640,A1,2.950,-83.6,2.929,0.669
4569650,A2,0.350,-82.7,2.933,0.669
4569770,A3,3.720,-81.4,2.933,0.644
4569790,A1,2.920,-83.6,2.901,0.615
4569800,A2,0.350,-82.1,2.901,0.615
4570070,A3,3.700,-82.1,2.901,0.639
4570090,A1,2.900,-83.9,2.881,0.620
4570100,A2,0.350,-82.1,2.881,0.620
4570220,A3,3.680,-81.9,2.881,0.645
4570240,A1,2.910,-83.4,2.891,0.654
4570250,A2,0.360,-82.9,2.890,0.654
4570390,A1,2.890,-83.6,2.869,0.635
4570400,A2,0.360,-82.0,2.869,0.635
4570540,A1,2.960,-86.6,2.943,0.703
4570550,A2,0.360,-82.1,2.943,0.703
4570670,A3,3.700,-81.6,2.943,0.679
4570690,A1,2.960,-87.3,2.943,0.679
4570700,A2,0.370,-81.9,2.941,0.679
4570820,A3,3.730,-84.8,2.941,0.641
4570840,A1,2.940,-84.8,2.920,0.622
4570850,A2,0.380,-82.9,2.919,0.622
4570970,A3,3.730,-81.8,2.919,0.622
4570990,A1,2.920,-83.3,2.898,0.602
4571000,A2,0.330,-83.0,2.904,0.602
4571120,A3,3.690,-80.7,2.904,0.652
4571140,A1,2.960,-83.2,2.946,0.691
4571150,A2,0.370,-81.9,2.941,0.691
4571270,A3,3.720,-81.8,2.941,0.654
4571290,A1,2.910,-83.7,2.888,0.605
4571300,A2,0.350,-83.1,2.891,0.605
4571420,A3,3.710,-81.6,2.891,0.617
4571440,A1,2.880,-84.0,2.860,0.588
4571450,A2,0.350,-82.7,2.860,0.588
4571570,A3,3.690,-82.3,2.860,0.613
4571590,A1,2.890,-82.8,2.870,0.623
4571600,A2,0.350,-82.2,2.870,0.623
4571720,A3,3.710,-82.7,2.870,0.598
4571740,A1,2.930,-82.9,2.912,0.637
4571750,A2,0.320,-82.6,2.916,0.637
4571870,A3,3.690,-82.4,2.916,0.661
4571890,A1,2.890,-83.1,2.874,0.623
4571900,A2,0.350,-82.8,2.870,0.623
4572020,A3,3.710,-82.0,2.870,0.598
4572040,A1,2.940,-83.2,2.923,0.647
4572050,A2,0.330,-82.2,2.925,0.647
4572170,A3,3.710,-82.1,2.925,0.647
4572190,A1,2.910,-82.8,2.893,0.617
4572200,A2,0.350,-82.3,2.891,0.617
4572320,A3,3.650,-82.9,2.891,0.691
4572340,A1,2.930,-83.7,2.912,0.710
4572350,A2,0.340,-82.5,2.913,0.710
4572470,A3,3.710,-82.5,2.913,0.637
4572490,A1,2.890,-82.7,2.871,0.598
4572500,A2,0.340,-82.2,2.871,0.598
4572620,A3,3.690,-82.2,2.871,0.623
4572640,A1,2.840,-83.2,2.820,0.575
