timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
3915040,A1,0.710,-81.3,0.586,0.114
3915050,A2,2.180,-84.2,0.626,0.114
3915170,A3,2.930,-81.4,0.626,0.153
3915190,A1,0.690,-81.5,0.621,0.149
3915200,A2,2.220,-84.6,0.589,0.149
3915320,A3,2.970,-81.3,0.589,0.109
3915340,A1,0.700,-81.1,0.592,0.112
3915350,A2,2.200,-83.8,0.608,0.112
3915470,A3,2.960,-81.9,0.608,0.121
3915490,A1,0.690,-81.2,0.605,0.119
3915500,A2,2.220,-83.9,0.589,0.119
3915620,A3,2.960,-81.3,0.589,0.119
3915640,A1,0.710,-81.3,0.594,0.124
3915650,A2,2.220,-83.6,0.594,0.124
3915770,A3,2.970,-81.2,0.594,0.114
3915790,A1,0.700,-81.3,0.592,0.112
3915800,A2,2.210,-83.6,0.600,0.112
3915920,A3,2.930,-81.1,0.600,0.151
3915940,A1,0.740,-81.4,0.610,0.160
3915950,A2,2.240,-83.7,0.586,0.160
3916070,A3,2.950,-83.2,0.586,0.141
3916090,A1,0.690,-81.3,0.573,0.129
3916100,A2,2.230,-84.3,0.581,0.129
3916220,A3,2.970,-80.9,0.581,0.109
3916240,A1,0.720,-80.9,0.589,0.116
3916250,A2,2.210,-84.0,0.605,0.116
3916390,A1,0.700,-81.2,0.600,0.112
3916400,A2,2.210,-84.1,0.600,0.112
3916540,A1,0.720,-81.3,0.605,0.116
3916550,A2,2.210,-83.8,0.605,0.116
3916670,A3,2.950,-81.0,0.605,0.136
3916690,A1,0.700,-81.2,0.600,0.131
3916700,A2,2.190,-83.8,0.616,0.131
3916820,A3,2.960,-81.6,0.616,0.121
3916840,A1,0.730,-81.0,0.623,0.129
3916850,A2,2.230,-83.6,0.591,0.129
3916970,A3,3.000,-81.2,0.591,0.089
3916990,A1,0.700,-81.2,0.584,0.082
3917000,A2,2.250,-83.8,0.568,0.082
3917120,A3,2.940,-80.8,0.568,0.141
3917140,A1,0.690,-81.1,0.565,0.139
3917150,A2,2.240,-83.9,0.573,0.139
3917270,A3,2.920,-81.7,0.573,0.158
3917290,A1,0.690,-80.9,0.573,0.158
3917300,A2,2.210,-83.8,0.597,0.158
3917420,A3,2.940,-82.3,0.597,0.139
3917440,A1,0.720,-81.2,0.605,0.146
3917450,A2,2.200,-83.7,0.613,0.146
3917570,A3,2.940,-81.7,0.613,0.146
3917590,A1,0.700,-81.1,0.608,0.141
3917600,A2,2.210,-83.6,0.600,0.141
3917720,A3,2.940,-82.0,0.600,0.141
3917740,A1,0.720,-81.2,0.605,0.146
3917750,A2,2.210,-83.9,0.605,0.146
3918020,A3,2.940,-81.5,0.605,0.146
3918040,A1,0.720,-80.6,0.605,0.146
3918050,A2,2.210,-84.8,0.605,0.146
3918170,A3,2.940,-81.8,0.605,0.146
3918190,A1,0.710,-81.2,0.602,0.143
3918200,A2,2.230,-84.1,0.586,0.143
3918320,A3,2.960,-82.0,0.586,0.124
3918340,A1,0.720,-80.7,0.589,0.126
3918350,A2,2.220,-84.2,0.597,0.126
3918470,A3,2.970,-82.8,0.597,0.116
3918490,A1,0.720,-80.8,0.597,0.116
3918500,A2,2.210,-84.3,0.605,0.116
3918620,A3,2.940,-82.4,0.605,0.146
3918640,A1,0.700,-81.4,0.600,0.141
3918650,A2,2.180,-83.8,0.623,0.141
3918770,A3,2.960,-81.3,0.623,0.121
3918790,A1,0.700,-80.9,0.623,0.121
3918800,A2,2.240,-84.2,0.576,0.121
3918920,A3,2.910,-81.3,0.576,0.170
3918940,A1,0.670,-81.2,0.568,0.163
3918950,A2,2.210,-84.7,0.592,0.163
3919070,A3,2.980,-81.0,0.592,0.095
3919090,A1,0.720,-81.4,0.605,0.106
3919100,A2,2.240,-84.0,0.581,0.106
3919220,A3,2.960,-81.3,0.581,0.126
3919240,A1,0.680,-81.4,0.571,0.117
3919250,A2,2.200,-83.9,0.603,0.117
3919370,A3,2.930,-81.3,0.603,0.146
3919390,A1,0.700,-81.6,0.608,0.151
3919400,A2,2.210,-84.6,0.600,0.151
3919520,A3,2.940,-81.2,0.600,0.141
3919540,A1,0.650,-81.8,0.588,0.130
3919550,A2,2.240,-83.9,0.564,0.130
3919670,A3,2.960,-82.5,0.564,0.110
3919690,A1,0.710,-81.2,0.578,0.124
3919700,A2,2.220,-83.8,0.594,0.124
3919820,A3,2.950,-81.4,0.594,0.134
3919840,A1,0.700,-81.0,0.592,0.131
3919850,A2,2.190,-84.2,0.616,0.131
3919970,A3,3.000,-81.2,0.616,0.082
3919990,A1,0.680,-81.4,0.611,0.077
3920000,A2,2.190,-84.4,0.611,0.077
3920120,A3,2.960,-81.1,0.611,0.117
3920140,A1,0.710,-81.2,0.618,0.124
3920150,A2,2.190,-84.0,0.618,0.124
3920270,A3,2.960,-81.3,0.618,0.124
3920300,A2,2.200,-83.9,0.610,0.124
3920450,A2,2.220,-83.7,0.594,0.124
3920570,A3,2.940,-82.0,0.594,0.143
3920590,A1,0.720,-81.2,0.597,0.146
3920600,A2,2.250,-84.0,0.573,0.146
3920720,A3,2.950,-81.8,0.573,0.136
3920740,A1,0.720,-81.2,0.573,0.136
3920750,A2,2.230,-84.8,0.589,0.136
3920870,A3,2.940,-81.1,0.589,0.146
3920890,A1,0.720,-81.4,0.589,0.146
3920900,A2,2.190,-83.6,0.621,0.146
3921170,A3,2.960,-81.7,0.621,0.126
3921190,A1,0.670,-81.2,0.608,0.115
3921200,A2,2.200,-83.5,0.600,0.115
3921320,A3,2.950,-82.0,0.600,0.124
3921340,A1,0.680,-81.1,0.603,0.127
3921350,A2,2.190,-84.0,0.611,0.127
3921470,A3,2.980,-81.0,0.611,0.097
3921490,A1,0.660,-81.6,0.606,0.093
3921500,A2,2.260,-83.7,0.550,0.093
3921620,A3,2.930,-81.1,0.550,0.142
3921640,A1,0.720,-81.4,0.565,0.156
3921650,A2,2.210,-84.2,0.605,0.156
3921770,A3,2.970,-81.8,0.605,0.116
3921790,A1,0.670,-81.3,0.592,0.105
3921800,A2,2.240,-84.1,0.568,0.105
3921920,A3,2.950,-81.1,0.568,0.124
3921940,A1,0.710,-81.2,0.578,0.134
3921950,A2,2.190,-83.9,0.618,0.134
3922070,A3,2.980,-80.9,0.618,0.104
3922090,A1,0.710,-81.6,0.618,0.104
3922100,A2,2.230,-84.2,0.586,0.104
3922220,A3,2.950,-81.2,0.586,0.134
3922250,A2,2.230,-84.1,0.586,0.134
3922400,A2,2.220,-83.6,0.594,0.134
3922520,A3,2.940,-81.6,0.594,0.143
3922540,A1,0.720,-81.4,0.597,0.146
3922550,A2,2.190,-83.8,0.621,0.146
3922670,A3,2.940,-81.4,0.621,0.146
3922690,A1,0.700,-81.4,0.616,0.141
3922700,A2,2.180,-83.8,0.623,0.141
3922820,A3,2.950,-81.6,0.623,0.131
3922840,A1,0.720,-81.7,0.628,0.136
3922850,A2,2.190,-84.2,0.621,0.136
3922970,A3,2.920,-81.2,0.621,0.165
3923000,A2,2.220,-83.8,0.597,0.165
3923150,A2,2.230,-84.1,0.589,0.165
3923270,A3,2.960,-81.4,0.589,0.126
3923290,A1,0.690,-81.8,0.581,0.119
3923300,A2,2.230,-84.0,0.581,0.119
3923420,A3,2.920,-81.9,0.581,0.158
3923440,A1,0.690,-81.2,0.581,0.158
