timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
3202970,A3,3.130,-80.9,3.171,3.109
3202990,A1,4.430,-81.9,3.202,3.138
3203000,A2,3.940,-86.3,2.128,3.138
3203120,A3,3.160,-81.0,2.128,3.107
3203140,A1,4.380,-81.9,2.048,3.033
3203150,A2,4.050,-86.4,1.890,3.033
3203270,A3,3.150,-81.4,1.890,3.044
3203290,A1,4.420,-81.8,1.954,3.102
3203300,A2,3.440,-86.2,2.775,3.102
3203420,A3,3.130,-81.2,2.775,3.123
3203440,A1,4.400,-81.4,2.744,3.094
3203570,A3,3.140,-81.1,2.744,3.083
3203590,A1,4.390,-81.9,2.728,3.069
3203600,A2,4.080,-85.8,1.862,3.069
3203720,A3,3.210,-81.3,1.862,2.995
3203740,A1,4.410,-82.0,1.894,3.024
3203750,A2,3.800,-85.9,2.291,3.024
3203870,A3,3.120,-80.9,2.291,3.119
3203890,A1,4.390,-81.8,2.259,3.090
3203900,A2,3.730,-86.2,2.354,3.090
3204020,A3,3.130,-81.3,2.354,3.079
3204040,A1,4.400,-81.8,2.370,3.094
3204050,A2,3.910,-86.5,2.122,3.094
3204170,A3,3.140,-80.9,2.122,3.083
3204190,A1,4.410,-81.7,2.138,3.098
3204200,A2,3.720,-86.1,2.399,3.098
3204320,A3,3.150,-81.2,2.399,3.088
3204340,A1,5.260,-81.5,3.877,4.458
3204350,A2,3.760,-86.4,3.823,4.458
3204470,A3,3.120,-80.9,3.823,4.489
3204490,A1,4.420,-81.4,2.361,3.134
3204500,A2,3.430,-86.1,2.788,3.134
3204620,A3,3.140,-81.3,2.788,3.113
3204640,A1,4.410,-81.7,2.772,3.098
3204650,A2,3.920,-86.2,2.124,3.098
3204770,A3,3.110,-80.9,2.124,3.129
3204790,A1,4.410,-81.8,2.124,3.129
3204800,A2,3.420,-86.1,2.784,3.129
3204920,A3,3.130,-80.9,2.784,3.109
3204940,A1,4.430,-81.8,2.816,3.138
3204950,A2,3.480,-86.1,2.742,3.138
3205070,A3,3.120,-80.9,2.742,3.148
3205100,A2,3.770,-86.1,2.363,3.148
3205250,A2,3.310,-86.2,2.949,3.148
3205370,A3,3.120,-81.2,2.949,3.148
3205400,A2,3.930,-86.2,2.142,3.148
3205550,A2,3.920,-86.2,2.156,3.148
3205670,A3,3.110,-81.3,2.156,3.159
3205690,A1,4.430,-81.7,2.156,3.159
3205700,A2,3.770,-86.2,2.363,3.159
3205820,A3,3.130,-83.3,2.363,3.138
3205840,A1,4.400,-82.3,2.316,3.094
3205850,A2,4.050,-86.9,1.922,3.094
3206120,A3,3.130,-81.2,1.922,3.094
3206140,A1,4.410,-81.7,1.938,3.109
3206150,A2,3.120,-86.3,3.137,3.109
3206270,A3,3.110,-81.3,3.137,3.129
3206290,A1,4.450,-81.7,3.201,3.188
3206300,A2,3.120,-85.4,3.201,3.188
3206420,A3,3.130,-80.9,3.201,3.168
3206440,A1,4.450,-81.7,3.201,3.168
3206450,A2,3.430,-86.3,2.836,3.168
3206570,A3,3.110,-81.1,2.836,3.188
3206590,A1,4.360,-81.9,2.693,3.056
3206600,A2,4.100,-86.1,1.786,3.056
3206720,A3,3.150,-80.9,1.786,3.015
3206740,A1,4.390,-81.4,1.833,3.058
3206750,A2,4.070,-86.6,1.877,3.058
3206870,A3,3.150,-81.2,1.877,3.058
3206890,A1,4.370,-81.5,1.845,3.029
3206900,A2,3.760,-85.9,2.282,3.029
3207020,A3,3.140,-80.7,2.282,3.040
3207040,A1,4.400,-81.1,2.329,3.083
3207050,A2,3.120,-87.1,3.121,3.083
3207170,A3,3.130,-81.1,3.121,3.094
3207190,A1,4.400,-81.2,3.121,3.094
3207200,A2,3.110,-86.5,3.132,3.094
3207320,A3,3.120,-80.9,3.132,3.104
3207340,A1,4.380,-81.1,3.101,3.075
3207350,A2,3.120,-85.8,3.090,3.075
3207470,A3,3.130,-81.7,3.090,3.065
3207490,A1,4.400,-81.3,3.121,3.094
3207500,A2,4.950,-85.5,0.465,3.094
3207620,A3,3.120,-81.3,0.465,3.104
3207640,A1,4.410,-81.8,0.481,3.119
3207650,A2,5.070,-85.8,0.265,3.119
3207770,A3,3.120,-81.8,0.265,3.119
3207790,A1,4.380,-81.4,0.217,3.075
3207800,A2,4.010,-85.1,1.948,3.075
3207920,A3,3.200,-81.3,1.948,2.991
3207940,A1,4.370,-82.0,1.933,2.976
3207950,A2,4.790,-85.7,0.698,2.976
3208070,A3,3.120,-81.4,0.698,3.060
3208090,A1,4.420,-81.7,0.777,3.134
3208100,A2,4.010,-85.1,2.012,3.134
3208220,A3,3.160,-81.1,2.012,3.092
3208250,A2,4.430,-85.3,1.374,3.092
3208400,A2,4.790,-85.2,0.777,3.092
3208520,A3,3.120,-81.5,0.777,3.134
3208540,A1,5.220,-81.9,2.164,4.419
3208550,A2,3.450,-85.3,4.150,4.419
3208670,A3,3.120,-82.1,4.150,4.419
3208690,A1,4.380,-81.8,2.700,3.075
3208700,A2,4.110,-85.5,1.802,3.075
3208820,A3,3.110,-81.4,1.802,3.085
3208840,A1,4.390,-81.9,1.818,3.100
3208850,A2,4.780,-85.4,0.747,3.100
3208970,A3,3.110,-81.9,0.747,3.100
3208990,A1,4.380,-81.8,0.731,3.085
3209000,A2,4.100,-85.4,1.817,3.085
3209270,A3,3.110,-82.0,1.817,3.085
3209290,A1,4.380,-81.4,1.817,3.085
3209300,A2,5.110,-85.5,0.144,3.085
3209420,A3,3.100,-81.4,0.144,3.096
3209440,A1,4.350,-81.5,0.097,3.052
3209450,A2,3.750,-85.6,2.264,3.052
3209570,A3,3.130,-81.7,2.264,3.021
3209590,A1,4.380,-81.6,2.311,3.065
3209600,A2,3.800,-85.2,2.243,3.065
3209720,A3,3.130,-81.4,2.243,3.065
3209740,A1,4.390,-81.5,2.259,3.079
3209750,A2,3.120,-85.1,3.105,3.079
3209870,A3,3.110,-81.7,3.105,3.100
3209890,A1,4.390,-81.6,3.105,3.100
3209900,A2,4.790,-85.1,0.730,3.100
3210020,A3,3.120,-81.8,0.730,3.090
3210040,A1,4.360,-81.8,0.682,3.046
3210050,A2,4.110,-84.9,1.771,3.046
3210170,A3,3.130,-82.5,1.771,3.035
3210190,A1,4.390,-82.2,1.818,3.079
3210200,A2,4.310,-86.0,1.515,3.079
3210320,A3,3.130,-81.4,1.515,3.079
3210340,A1,4.370,-81.3,1.484,3.050
3210350,A2,3.300,-86.2,2.866,3.050
3210470,A3,3.120,-82.1,2.866,3.060
3210490,A1,4.360,-81.4,2.850,3.046
3210500,A2,3.090,-87.2,3.092,3.046
3210620,A3,3.110,-82.0,3.092,3.056
3210640,A1,4.420,-81.3,3.186,3.144
3210650,A2,3.720,-87.0,2.415,3.144
3210770,A3,3.120,-81.7,2.415,3.134
3210790,A1,4.390,-81.4,2.367,3.090
3210800,A2,3.730,-87.5,2.354,3.090
3210920,A3,3.130,-81.8,2.354,3.079
3210940,A1,4.410,-81.2,2.386,3.109
3210950,A2,3.100,-87.0,3.159,3.109
3211070,A3,3.110,-82.0,3.159,3.129
3211090,A1,4.390,-81.6,3.128,3.100
3211100,A2,3.110,-87.0,3.117,3.100
3211220,A3,3.120,-81.1,3.117,3.090
3211240,A1,4.380,-81.2,3.101,3.075
3211250,A2,3.790,-86.6,2.257,3.075
3211520,A3,3.120,-81.5,2.257,3.075
3211540,A1,4.390,-81.4,2.273,3.090
3211550,A2,3.290,-86.6,2.909,3.090
3211670,A3,3.110,-81.7,2.909,3.100
3211690,A1,4.410,-81.4,2.941,3.129
3211700,A2,3.130,-86.1,3.126,3.129
3211820,A3,3.140,-81.3,3.126,3.098
3211840,A1,4.390,-81.9,3.094,3.069
3211850,A2,3.450,-84.7,2.715,3.069
3211970,A3,3.120,-81.4,2.715,3.090
3211990,A1,4.410,-80.8,2.747,3.119
3212000,A2,4.080,-86.3,1.894,3.119
3212120,A3,3.180,-81.4,1.894,3.056
3212140,A1,4.430,-81.7,1.926,3.085
3212150,A2,3.090,-86.8,3.202,3.085
3212420,A3,3.180,-80.7,3.202,3.085
3212440,A1,4.410,-81.3,3.171,3.056
3212450,A2,3.100,-87.0,3.159,3.056
3212570,A3,3.150,-81.2,3.159,3.088
3212590,A1,4.380,-81.2,3.112,3.044
3212600,A2,3.650,-87.0,2.444,3.044
3212720,A3,3.120,-81.0,2.444,3.075
3212740,A1,4.410,-81.2,2.492,3.119
3212750,A2,4.100,-88.1,1.864,3.119
3212870,A3,3.110,-81.7,1.864,3.129
3212890,A1,4.420,-81.8,1.880,3.144
3212900,A2,3.120,-87.3,3.153,3.144
3213020,A3,3.120,-81.5,3.153,3.134
3213040,A1,4.400,-82.6,3.121,3.104
3213050,A2,3.430,-87.8,2.756,3.104
3213170,A3,3.110,-81.9,2.756,3.115
3213190,A1,4.420,-81.4,2.788,3.144
3213200,A2,3.270,-87.6,2.981,3.144
3213320,A3,3.100,-81.9,2.981,3.154
3213340,A1,4.370,-82.2,2.902,3.081
3213350,A2,3.120,-86.8,3.074,3.081
3213470,A3,3.120,-81.8,3.074,3.060
3213490,A1,4.400,-82.0,3.121,3.104
3213500,A2,4.790,-85.2,0.745,3.104
3213620,A3,3.120,-81.5,0.745,3.104
3213640,A1,4.380,-82.2,0.714,3.075
3213650,A2,5.050,-85.7,0.254,3.075
3213770,A3,3.120,-81.5,0.254,3.075
3213790,A1,4.400,-81.8,0.285,3.104
3213800,A2,3.730,-85.8,2.370,3.104
3213920,A3,3.150,-81.5,2.370,3.073
3213940,A1,4.430,-82.0,2.417,3.117
3213950,A2,4.310,-85.5,1.579,3.117
3214070,A3,3.130,-81.8,1.579,3.138
3214090,A1,4.360,-81.5,1.468,3.035
3214100,A2,3.500,-86.4,2.606,3.035
3214220,A3,3.120,-81.5,2.606,3.046
3214240,A1,4.410,-81.4,2.685,3.119
3214520,A3,3.120,-82.0,2.685,3.119
3214540,A1,4.410,-81.5,2.685,3.119
3214550,A2,3.130,-87.3,3.126,3.119
3214670,A3,3.140,-81.2,3.126,3.098
3214690,A1,4.400,-81.7,3.110,3.083
3214700,A2,3.120,-87.2,3.121,3.083
3214820,A3,3.120,-81.3,3.121,3.104
3214840,A1,4.380,-81.6,3.090,3.075
3214850,A2,3.140,-87.3,3.067,3.075
3214970,A3,3.120,-81.6,3.067,3.075
3214990,A1,4.380,-81.6,3.067,3.075
3215000,A2,3.100,-87.5,3.112,3.075
3215120,A3,3.170,-81.7,3.112,3.023
3215140,A1,4.400,-81.7,3.144,3.052
3215150,A2,3.120,-87.9,3.121,3.052
3215270,A3,3.140,-81.7,3.121,3.083
3215290,A1,4.430,-81.5,3.169,3.128
3215300,A2,3.120,-87.9,3.169,3.128
3215570,A3,3.120,-81.0,3.169,3.148
3215590,A1,4.410,-81.4,3.137,3.119
3215600,A2,4.090,-88.1,1.879,3.119
3215720,A3,3.110,-81.0,1.879,3.129
3215740,A1,4.390,-81.4,1.848,3.100
3215750,A2,3.120,-87.8,3.105,3.100
3215870,A3,3.110,-81.1,3.105,3.100
3215890,A1,4.400,-81.4,3.121,3.115
3215900,A2,3.110,-87.8,3.132,3.115
3216020,A3,3.130,-81.6,3.132,3.094
3216040,A1,4.410,-81.4,3.148,3.109
3216050,A2,3.110,-88.0,3.148,3.109
3216170,A3,3.140,-81.4,3.148,3.098
3216190,A1,4.410,-81.6,3.148,3.098
3216200,A2,3.950,-87.5,2.082,3.098
3216320,A3,3.120,-81.9,2.082,3.119
3216340,A1,4.430,-81.3,2.113,3.148
3216350,A2,3.650,-87.8,2.524,3.148
3216470,A3,3.170,-82.2,2.524,3.096
3216490,A1,4.430,-81.7,2.524,3.096
3216500,A2,3.310,-88.0,2.949,3.096
3216620,A3,3.140,-81.2,2.949,3.128
3216640,A1,4.400,-81.5,2.901,3.083
3216650,A2,3.120,-87.7,3.121,3.083
3216770,A3,3.130,-81.5,3.121,3.094
3216790,A1,4.400,-81.2,3.121,3.094
3216800,A2,3.120,-87.6,3.121,3.094
3216920,A3,3.090,-81.2,3.121,3.135
3216940,A1,4.390,-81.2,3.105,3.121
3216950,A2,3.120,-87.8,3.105,3.121
3217070,A3,3.110,-81.4,3.105,3.100
3217090,A1,4.390,-81.2,3.105,3.100
3217100,A2,3.490,-87.7,2.666,3.100
3217220,A3,3.130,-81.4,2.666,3.079
3217240,A1,4.440,-81.4,2.745,3.153
3217250,A2,3.120,-87.8,3.185,3.153
3217370,A3,3.150,-81.8,3.185,3.132
3217390,A1,4.420,-81.1,3.153,3.102
3217400,A2,3.120,-87.8,3.153,3.102
3217520,A3,3.120,-81.1,3.153,3.134
3217540,A1,4.430,-81.4,3.169,3.148
3217550,A2,3.110,-87.5,3.180,3.148
3217670,A3,3.100,-81.5,3.180,3.169
3217690,A1,4.420,-81.5,3.164,3.154
3217700,A2,3.140,-87.8,3.130,3.154
3217820,A3,3.100,-81.2,3.130,3.154
3217840,A1,4.430,-81.6,3.146,3.169
3217850,A2,3.140,-87.9,3.146,3.169
3217970,A3,3.150,-81.8,3.146,3.117
3217990,A1,4.390,-81.4,3.083,3.058
3218000,A2,3.090,-87.9,3.139,3.058
3218120,A3,3.140,-81.6,3.139,3.069
3218140,A1,4.410,-81.8,3.171,3.098
3218150,A2,3.310,-87.1,2.917,3.098
3218270,A3,3.140,-81.6,2.917,3.098
3218290,A1,4.400,-81.4,2.901,3.083
3218300,A2,3.120,-87.3,3.121,3.083
3218420,A3,3.110,-81.9,3.121,3.115
3218440,A1,4.380,-81.4,3.090,3.085
3218450,A2,3.450,-87.3,2.700,3.085
3218720,A3,3.170,-82.3,2.700,3.023
3218740,A1,4.420,-81.4,2.763,3.081
3218750,A2,3.130,-87.0,3.142,3.081
3218870,A3,3.130,-81.9,3.142,3.123
3218890,A1,4.400,-81.7,3.110,3.094
3218900,A2,3.650,-86.9,2.476,3.094
3219020,A3,3.090,-81.5,2.476,3.135
3219040,A1,4.380,-81.1,2.444,3.106
