timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
1589000,A3,2.480,-81.4,1.035,0.806
1589020,A2,1.990,-83.6,1.035,0.806
1589030,A1,1.400,-81.0,1.030,0.802
1589150,A3,2.520,-80.8,1.030,0.768
1589170,A2,1.990,-84.1,1.030,0.768
1589180,A1,1.390,-81.0,1.025,0.764
1589300,A3,2.500,-81.6,1.025,0.780
1589320,A2,2.000,-83.8,1.018,0.780
1589330,A1,1.380,-81.3,1.013,0.776
1589450,A3,2.480,-80.9,1.013,0.792
1589470,A2,1.990,-84.1,1.020,0.792
1589480,A1,1.400,-81.1,1.030,0.802
1589600,A3,2.510,-81.2,1.030,0.777
1589620,A2,2.000,-84.1,1.023,0.777
1589630,A1,1.420,-81.1,1.033,0.786
1589750,A3,2.500,-80.7,1.033,0.794
1589770,A2,2.010,-84.3,1.026,0.794
1589780,A1,1.400,-81.1,1.016,0.785
1589900,A3,2.500,-80.7,1.016,0.785
1589920,A2,1.990,-83.8,1.030,0.785
1589930,A1,1.410,-81.1,1.035,0.790
1590050,A3,2.550,-81.4,1.035,0.748
1590070,A2,1.990,-83.6,1.035,0.748
1590080,A1,1.370,-81.2,1.015,0.729
1590200,A3,2.510,-81.2,1.015,0.763
1590220,A2,2.020,-83.9,0.994,0.763
1590230,A1,1.390,-81.0,1.004,0.772
1590350,A3,2.490,-80.5,1.004,0.789
1590370,A2,2.010,-84.0,1.011,0.789
1590380,A1,1.400,-81.0,1.016,0.793
1590500,A3,2.550,-80.5,1.016,0.743
1590520,A2,1.980,-84.3,1.037,0.743
1590530,A1,1.410,-80.7,1.042,0.748
1590650,A3,2.510,-80.8,1.042,0.781
1590670,A2,2.010,-84.2,1.021,0.781
1590680,A1,1.410,-81.3,1.021,0.781
1590800,A3,2.510,-81.3,1.021,0.781
1590820,A2,1.980,-84.1,1.042,0.781
1590830,A1,1.390,-80.8,1.032,0.772
1590950,A3,2.500,-81.0,1.032,0.780
1590980,A1,1.410,-80.8,1.042,0.790
1591130,A1,1.390,-80.9,1.032,0.780
1591250,A3,2.480,-80.9,1.032,0.797
1591270,A2,2.010,-84.1,1.011,0.797
1591280,A1,1.400,-81.0,1.016,0.802
1591400,A3,2.500,-81.0,1.016,0.785
1591420,A2,2.010,-83.8,1.016,0.785
1591430,A1,1.420,-81.1,1.026,0.794
1591550,A3,2.480,-81.7,1.026,0.811
1591570,A2,1.990,-84.0,1.040,0.811
1591580,A1,1.400,-81.4,1.030,0.802
1591850,A3,2.480,-81.7,1.030,0.802
1591870,A2,2.010,-84.3,1.016,0.802
1592150,A3,2.500,-81.5,1.016,0.785
1592170,A2,2.000,-84.3,1.023,0.785
1592180,A1,1.400,-81.3,1.023,0.785
1592300,A3,2.500,-81.4,1.023,0.785
1592320,A2,1.990,-83.8,1.030,0.785
1592330,A1,1.370,-81.0,1.015,0.771
1592450,A3,2.490,-81.6,1.015,0.779
1592470,A2,1.990,-83.6,1.015,0.779
1592480,A1,1.370,-81.6,1.015,0.779
1592600,A3,2.520,-83.5,1.015,0.754
1592620,A2,2.000,-84.0,1.008,0.754
1592630,A1,1.380,-81.9,1.013,0.759
1592750,A3,2.490,-81.8,1.013,0.784
1592770,A2,2.010,-84.1,1.006,0.784
