timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
2006170,A2,1.230,-81.8,2.260,0.988
2006180,A1,2.550,-81.8,2.287,1.013
2006300,A3,3.090,-81.7,2.287,0.992
2006320,A2,1.220,-81.9,2.292,0.992
2006330,A1,2.570,-81.2,2.310,1.009
2006450,A3,3.110,-82.2,2.310,0.989
2006470,A2,1.240,-81.9,2.301,0.989
2006480,A1,2.510,-81.6,2.247,0.938
2006600,A3,3.110,-81.7,2.247,0.938
2006620,A2,1.210,-82.3,2.260,0.938
2006630,A1,2.550,-81.1,2.296,0.972
2006750,A3,3.150,-81.3,2.296,0.930
2006770,A2,1.220,-82.6,2.292,0.930
2006780,A1,2.520,-81.4,2.264,0.905
2006900,A3,3.110,-81.2,2.264,0.946
2006920,A2,1.220,-82.4,2.264,0.946
2006930,A1,2.540,-80.8,2.283,0.963
2007050,A3,3.130,-81.4,2.283,0.942
2007070,A2,1.220,-82.0,2.283,0.942
2007080,A1,2.540,-80.8,2.283,0.942
2007200,A3,3.100,-81.1,2.283,0.974
2007220,A2,1.250,-82.2,2.269,0.974
2007650,A3,3.060,-81.2,2.269,1.015
2007670,A2,1.210,-82.8,2.287,1.015
2007680,A1,2.550,-81.2,2.296,1.023
2007800,A3,3.130,-81.5,2.296,0.951
2007820,A2,1.210,-82.4,2.296,0.951
2007830,A1,2.530,-81.4,2.278,0.934
2007950,A3,3.120,-81.4,2.278,0.944
2007970,A2,1.210,-82.4,2.278,0.944
2007980,A1,2.550,-81.5,2.296,0.961
2008100,A3,3.110,-81.1,2.296,0.972
2008120,A2,1.220,-82.4,2.292,0.972
2008130,A1,2.540,-81.2,2.283,0.963
2008250,A3,3.110,-80.6,2.283,0.963
2008270,A2,1.210,-82.8,2.287,0.963
2008280,A1,2.530,-80.9,2.278,0.955
2008400,A3,3.120,-81.7,2.278,0.944
2008420,A2,1.230,-82.4,2.269,0.944
2008430,A1,2.550,-81.6,2.287,0.961
2008550,A3,3.120,-81.6,2.287,0.961
2008570,A2,1.220,-82.5,2.292,0.961
2008580,A1,2.560,-81.4,2.301,0.970
2008700,A3,3.120,-81.2,2.301,0.970
2008720,A2,1.260,-82.7,2.283,0.970
2008730,A1,2.540,-81.5,2.265,0.953
2008850,A3,3.140,-81.0,2.265,0.932
2008870,A2,1.230,-82.3,2.278,0.932
2008880,A1,2.560,-81.4,2.297,0.949
2009000,A3,3.140,-81.8,2.297,0.949
2009020,A2,1.240,-82.3,2.292,0.949
2009030,A1,2.530,-81.8,2.265,0.924
2009150,A3,3.120,-81.8,2.265,0.944
2009170,A2,1.220,-82.2,2.274,0.944
2009180,A1,2.560,-81.4,2.301,0.970
2009300,A3,3.110,-81.7,2.301,0.980
2009320,A2,1.230,-82.3,2.297,0.980
2009330,A1,2.550,-81.7,2.287,0.972
2009450,A3,3.120,-81.2,2.287,0.961
2009470,A2,1.220,-82.4,2.292,0.961
2009480,A1,2.540,-81.6,2.283,0.953
2009600,A3,3.110,-81.3,2.283,0.963
2009620,A2,1.220,-82.6,2.283,0.963
2009630,A1,2.520,-81.6,2.264,0.946
2009750,A3,3.110,-81.0,2.264,0.946
2009770,A2,1.220,-82.4,2.264,0.946
2009780,A1,2.560,-81.7,2.301,0.980
2009900,A3,3.120,-81.6,2.301,0.970
2009920,A2,1.220,-82.6,2.301,0.970
2009930,A1,2.540,-81.4,2.283,0.953
2010050,A3,3.110,-81.7,2.283,0.963
2010070,A2,1.220,-82.3,2.283,0.963
2010080,A1,2.530,-81.8,2.274,0.955
