timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
2789150,A3,2.540,-80.0,2.021,2.026
2789170,A2,2.490,-82.0,2.003,2.026
2789180,A1,3.080,-82.1,1.981,2.006
2789300,A3,2.550,-80.2,1.981,1.997
2789320,A2,2.450,-81.5,2.017,1.997
2789330,A1,3.070,-82.2,2.006,1.987
2789450,A3,2.530,-80.0,2.006,2.004
2789470,A2,2.470,-82.0,1.988,2.004
2789480,A1,3.100,-82.2,2.021,2.035
2789600,A3,2.590,-79.8,2.021,1.984
2789620,A2,2.470,-81.5,2.021,1.984
2789630,A1,3.080,-82.2,1.999,1.963
2789750,A3,2.550,-80.1,1.999,1.997
2789770,A2,2.450,-82.0,2.017,1.997
2789780,A1,3.090,-82.1,2.028,2.008
2789900,A3,2.520,-80.1,2.028,2.033
2789920,A2,2.470,-81.7,2.010,2.033
2789930,A1,3.070,-82.1,1.988,2.012
2790050,A3,2.540,-80.2,1.988,1.996
2790070,A2,2.480,-81.6,1.979,1.996
2790080,A1,3.080,-82.4,1.990,2.006
2790200,A3,2.520,-80.4,1.990,2.023
2790220,A2,2.450,-81.9,2.017,2.023
2790230,A1,3.090,-82.2,2.028,2.033
2790350,A3,2.510,-80.4,2.028,2.041
2790370,A2,2.460,-82.0,2.019,2.041
2790380,A1,3.090,-82.3,2.019,2.041
2790500,A3,2.540,-80.3,2.019,2.016
2790520,A2,2.450,-81.5,2.028,2.016
2790530,A1,3.080,-82.2,2.017,2.006
2790650,A3,2.570,-79.9,2.017,1.980
2790670,A2,2.450,-81.4,2.017,1.980
2790680,A1,3.100,-82.4,2.039,2.001
2790800,A3,2.510,-80.3,2.039,2.052
2790820,A2,2.450,-82.0,2.039,2.052
2790830,A1,3.060,-82.7,1.995,2.011
2790950,A3,2.530,-80.1,1.995,1.994
2790970,A2,2.440,-81.6,2.003,1.994
2790980,A1,3.100,-82.6,2.048,2.035
2791100,A3,2.540,-80.2,2.048,2.026
2791120,A2,2.450,-81.7,2.039,2.026
2791130,A1,3.090,-82.8,2.028,2.016
2791250,A3,2.540,-80.3,2.028,2.016
2791270,A2,2.440,-81.5,2.036,2.016
2791280,A1,3.060,-82.6,2.003,1.985
2791400,A3,2.550,-80.0,2.003,1.977
2791420,A2,2.480,-82.1,1.968,1.977
2791430,A1,3.100,-82.3,2.012,2.018
2791550,A3,2.540,-80.1,2.012,2.026
2791570,A2,2.460,-81.7,2.030,2.026
2791580,A1,3.070,-82.2,1.997,1.996
2791700,A3,2.540,-80.1,1.997,1.996
2791720,A2,2.450,-81.4,2.006,1.996
2791730,A1,3.090,-82.1,2.028,2.016
2792000,A3,2.570,-79.8,2.028,1.991
2792020,A2,2.450,-81.5,2.028,1.991
2792030,A1,3.100,-82.5,2.039,2.001
2792150,A3,2.550,-80.2,2.039,2.018
2792170,A2,2.470,-82.2,2.021,2.018
2792180,A1,3.090,-82.0,2.010,2.008
2792300,A3,2.560,-80.1,2.010,1.999
2792320,A2,2.440,-81.8,2.036,1.999
2792330,A1,3.090,-82.2,2.036,1.999
2792450,A3,2.530,-80.3,2.036,2.025
2792470,A2,2.460,-81.9,2.019,2.025
2792480,A1,3.110,-82.2,2.041,2.045
2792600,A3,2.540,-79.9,2.041,2.037
2792620,A2,2.470,-81.9,2.032,2.037
2792630,A1,3.070,-82.2,1.988,1.996
2792750,A3,2.550,-80.2,1.988,1.987
2792770,A2,2.420,-82.0,2.032,1.987
2792780,A1,3.080,-82.4,2.043,1.997
2792900,A3,2.560,-80.1,2.043,1.989
2792920,A2,2.450,-81.7,2.017,1.989
2792930,A1,3.110,-82.3,2.050,2.020
2793050,A3,2.530,-80.2,2.050,2.045
2793070,A2,2.450,-81.9,2.050,2.045
2793080,A1,3.070,-82.5,2.006,2.004
2793200,A3,2.580,-79.9,2.006,1.961
2793220,A2,2.480,-81.9,1.979,1.961
2793230,A1,3.100,-82.4,2.012,1.992
2793350,A3,2.550,-81.9,2.012,2.018
2793370,A2,2.470,-82.1,2.021,2.018
2793380,A1,3.110,-83.8,2.032,2.028
2793500,A3,2.520,-80.1,2.032,2.054
2793520,A2,2.440,-82.5,2.059,2.054
2793530,A1,3.060,-82.2,2.003,2.002
2793650,A3,2.550,-80.2,2.003,1.977
2793670,A2,2.450,-82.3,1.995,1.977
2793680,A1,3.090,-82.5,2.028,2.008
2793800,A3,2.530,-80.4,2.028,2.025
2793820,A2,2.430,-81.6,2.045,2.025
2793830,A1,3.090,-82.2,2.045,2.025
2793950,A3,2.530,-80.4,2.045,2.025
2793970,A2,2.470,-81.7,2.010,2.025
2793980,A1,3.080,-81.9,1.999,2.014
2794100,A3,2.520,-80.4,1.999,2.023
2794120,A2,2.450,-80.9,2.017,2.023
2794130,A1,3.040,-81.9,1.973,1.982
2794250,A3,2.500,-80.7,1.973,1.999
2794270,A2,2.440,-81.3,1.981,1.999
2794280,A1,3.120,-82.2,2.070,2.081
2794400,A3,2.510,-81.1,2.070,2.072
2794420,A2,2.460,-81.9,2.052,2.072
2794430,A1,3.100,-82.6,2.030,2.052
2794550,A3,2.520,-80.8,2.030,2.043
2794570,A2,2.440,-81.7,2.048,2.043
2794580,A1,3.070,-82.3,2.014,2.012
2794700,A3,2.540,-81.1,2.014,1.996
2794720,A2,2.450,-81.8,2.006,1.996
2794730,A1,3.120,-82.2,2.061,2.047
2794850,A3,2.520,-80.4,2.061,2.064
2794870,A2,2.450,-81.9,2.061,2.064
2794880,A1,3.110,-82.0,2.050,2.054
2795150,A3,2.520,-80.9,2.050,2.054
2795170,A2,2.450,-81.6,2.050,2.054
2795180,A1,3.070,-82.3,2.006,2.012
2795300,A3,2.540,-80.9,2.006,1.996
2795320,A2,2.440,-82.5,2.014,1.996
2795330,A1,3.060,-82.1,2.003,1.985
2795450,A3,2.550,-80.4,2.003,1.977
2795470,A2,2.510,-82.5,1.941,1.977
2795480,A1,3.080,-81.9,1.963,1.997
2795600,A3,2.540,-81.0,1.963,2.006
2795620,A2,2.440,-82.3,2.025,2.006
2795630,A1,3.110,-81.9,2.059,2.037
2795750,A3,2.550,-80.6,2.059,2.028
2795770,A2,2.450,-82.3,2.050,2.028
2795780,A1,3.070,-82.1,2.006,1.987
2795900,A3,2.520,-80.0,2.006,2.012
2795920,A2,2.460,-82.8,1.997,2.012
2795930,A1,3.050,-82.0,1.975,1.992
2796050,A3,2.530,-81.2,1.975,1.984
2796070,A2,2.470,-81.9,1.966,1.984
2796080,A1,3.100,-82.3,2.021,2.035
2796200,A3,2.530,-80.4,2.021,2.035
2796220,A2,2.480,-81.7,2.012,2.035
2796230,A1,3.100,-82.2,2.012,2.035
2796350,A3,2.560,-80.5,2.012,2.009
2796370,A2,2.470,-82.0,2.021,2.009
2796380,A1,3.070,-82.2,1.988,1.979
2796500,A3,2.540,-80.2,1.988,1.996
2796520,A2,2.460,-81.8,1.997,1.996
2796530,A1,3.070,-82.1,1.997,1.996
2796650,A3,2.560,-80.1,1.997,1.979
2796670,A2,2.440,-81.6,2.014,1.979
2796680,A1,3.050,-82.3,1.992,1.958
2796800,A3,2.520,-80.2,1.992,1.992
2796820,A2,2.460,-81.7,1.975,1.992
2796830,A1,3.100,-82.3,2.030,2.043
2796950,A3,2.550,-80.3,2.030,2.018
2796970,A2,2.460,-82.3,2.030,2.018
2796980,A1,3.090,-82.2,2.019,2.008
2797100,A3,2.550,-81.1,2.019,2.008
2797120,A2,2.470,-82.0,2.010,2.008
2797130,A1,3.090,-82.7,2.010,2.008
2797250,A3,2.540,-80.7,2.010,2.016
2797270,A2,2.450,-82.1,2.028,2.016
2797280,A1,3.060,-82.4,1.995,1.985
2797400,A3,2.540,-80.6,1.995,1.985
2797430,A1,3.070,-82.7,2.006,1.996
2797580,A1,3.040,-82.7,1.973,1.965
2797700,A3,2.520,-80.8,1.973,1.982
2797720,A2,2.460,-82.2,1.964,1.982
2797730,A1,3.060,-82.8,1.986,2.002
2797850,A3,2.500,-80.8,1.986,2.019
2797870,A2,2.440,-81.9,2.003,2.019
2797880,A1,3.060,-82.8,2.003,2.019
2798000,A3,2.520,-80.3,2.003,2.002
2798030,A1,3.070,-82.9,2.014,2.012
2798300,A3,2.530,-80.5,2.014,2.004
2798320,A2,2.480,-82.3,1.979,2.004
2798330,A1,3.110,-82.8,2.023,2.045
2798450,A3,2.550,-80.8,2.023,2.028
2798470,A2,2.460,-82.5,2.041,2.028
2798480,A1,3.090,-82.5,2.019,2.008
2798600,A3,2.520,-80.7,2.019,2.033
2798620,A2,2.480,-82.1,2.001,2.033
2798900,A3,2.510,-80.3,2.001,2.041
2798920,A2,2.480,-82.4,2.001,2.041
2798930,A1,3.090,-82.5,2.001,2.041
2799050,A3,2.530,-80.7,2.001,2.025
2799070,A2,2.450,-82.0,2.028,2.025
2799080,A1,3.080,-82.5,2.017,2.014
2799200,A3,2.520,-80.5,2.017,2.023
2799220,A2,2.480,-82.3,1.990,2.023
2799230,A1,3.080,-82.5,1.990,2.023
2799350,A3,2.520,-80.6,1.990,2.023
2799370,A2,2.450,-82.2,2.017,2.023
2799380,A1,3.070,-82.2,2.006,2.012
2799500,A3,2.520,-80.2,2.006,2.012
2799520,A2,2.470,-82.1,1.988,2.012
2799530,A1,3.060,-82.6,1.977,2.002
2799650,A3,2.530,-80.0,1.977,1.994
2799670,A2,2.440,-82.0,2.003,1.994
2799680,A1,3.100,-82.4,2.048,2.035
2799800,A3,2.550,-80.1,2.048,2.018
2799820,A2,2.450,-82.1,2.039,2.018
2799830,A1,3.080,-82.7,2.017,1.997
2799950,A3,2.540,-80.7,2.017,2.006
2799970,A2,2.460,-81.9,2.008,2.006
2799980,A1,3.060,-82.3,1.986,1.985
2800100,A3,2.550,-80.5,1.986,1.977
2800120,A2,2.470,-82.3,1.977,1.977
2800400,A3,2.500,-80.5,1.977,2.019
2800420,A2,2.420,-82.3,2.021,2.019
2800430,A1,3.080,-82.3,2.043,2.039
2800550,A3,2.560,-80.3,2.043,1.989
2800570,A2,2.460,-82.4,2.008,1.989
2800580,A1,3.080,-82.5,2.008,1.989
2800700,A3,2.550,-80.2,2.008,1.997
2800720,A2,2.480,-82.3,1.990,1.997
2800730,A1,3.070,-82.5,1.979,1.987
2800850,A3,2.540,-80.3,1.979,1.996
2800870,A2,2.460,-82.5,1.997,1.996
2800880,A1,3.090,-82.4,2.019,2.016
2801000,A3,2.530,-80.0,2.019,2.025
2801020,A2,2.450,-82.4,2.028,2.025
2801030,A1,3.090,-82.4,2.028,2.025
2801150,A3,2.560,-80.4,2.028,1.999
2801170,A2,2.470,-82.2,2.010,1.999
2801180,A1,3.090,-82.4,2.010,1.999
2801450,A3,2.530,-80.3,2.010,2.025
2801470,A2,2.480,-82.2,2.001,2.025
2801480,A1,3.050,-82.3,1.957,1.984
2801600,A3,2.550,-80.6,1.957,1.967
2801620,A2,2.460,-82.3,1.975,1.967
2801630,A1,3.110,-82.7,2.041,2.028
2801750,A3,2.560,-80.4,2.041,2.020
2801770,A2,2.470,-82.6,2.032,2.020
