timestamp_ms,A1,A2,A3,x_calc,y_calc,error,x_real,y_real,x_ekf,y_ekf,error_ekf
3915040,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5,0.5690260403929173,0.13927525904380994,0.3672695644757881
3915050,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5,0.5961811416389806,0.14592176288007522,0.3669089941782994
3915170,0.71,2.18,2.93,0.6259172661870501,0.1531999999999997,0.3689517555508046,0.5,0.5,0.6058847547944953,0.14829682683138756,0.3672964787671689
3915190,0.69,2.18,2.93,0.6208812949640284,0.1485333333333332,0.3716733851783825,0.5,0.5,0.6096831655729944,0.1483775515751453,0.3683323812080639
3915200,0.69,2.22,2.93,0.5892266187050357,0.1485333333333332,0.3626157846306634,0.5,0.5,0.605676433795338,0.14843280194912548,0.367106256286982
3915320,0.69,2.22,2.97,0.5892266187050357,0.1091999999999998,0.4008566196104712,0.5,0.5,0.6029337225651954,0.14171497237359967,0.3727781005670519
3915340,0.7,2.22,2.97,0.5917266187050357,0.1115166666666664,0.3991654705217336,0.5,0.5,0.6012847762158451,0.13707556488567743,0.37679271688309474
3915350,0.7,2.2,2.97,0.6076258992805753,0.1115166666666664,0.4031161550641831,0.5,0.5,0.6021810419076261,0.1334222110113787,0.3805525465755212
3915470,0.7,2.2,2.96,0.6076258992805753,0.1214,0.3936004245373123,0.5,0.5,0.6029186767740053,0.131675034405763,0.38243369923283177
3915490,0.69,2.2,2.96,0.6051258992805753,0.1190833333333335,0.3951568823189012,0.5,0.5,0.6032457468793067,0.1299026688095488,0.3842287324016261
3915500,0.69,2.22,2.96,0.5892266187050357,0.1190833333333335,0.3912274229012815,0.5,0.5,0.6016920231664815,0.1283504894539625,0.38531107726718866
3915620,0.69,2.22,2.96,0.5892266187050357,0.1190833333333335,0.3912274229012815,0.5,0.5,0.6003037849097878,0.12696597330771123,0.38628387791557156
3915640,0.71,2.22,2.96,0.5942625899280574,0.1237499999999999,0.3878782004185659,0.5,0.5,0.5995977762258738,0.12623001322932534,0.38681225425222704
3915650,0.71,2.22,2.96,0.5942625899280574,0.1237499999999999,0.3878782004185659,0.5,0.5,0.5989498766308223,0.12556544904869246,0.3872884080777041
3915770,0.71,2.22,2.97,0.5942625899280574,0.1138666666666662,0.3974724983832926,0.5,0.5,0.5983515072975569,0.12389677602452263,0.38875011777805224
3915790,0.7,2.22,2.97,0.5917266187050357,0.1115166666666664,0.3991654705217336,0.5,0.5,0.5975242279560602,0.12210495208130051,0.3902763665403041
3915800,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.4010713685679934,0.5,0.5,0.5976114599900179,0.12044914564143867,0.3919015796927804
3915920,0.7,2.21,2.93,0.5996942446043164,0.1508499999999998,0.3631042066779527,0.5,0.5,0.5977008925993332,0.12314887812745573,0.3893099439666314
3915940,0.74,2.21,2.93,0.6100539568345322,0.1604499999999996,0.3569398771711243,0.5,0.5,0.5989053222646394,0.12674621276820794,0.38613553637958276
3915950,0.74,2.24,2.93,0.5860431654676257,0.1604499999999996,0.3502822131134971,0.5,0.5,0.5974629598541467,0.13014578187722786,0.3824802886512429
3916070,0.74,2.24,2.95,0.5860431654676257,0.1408499999999997,0.3693130769735745,0.5,0.5,0.5961127556515419,0.13124280356629325,0.38107680554001233
3916090,0.69,2.24,2.95,0.5731834532374097,0.1289333333333333,0.3782146069877037,0.5,0.5,0.593475860746024,0.13099659233707472,0.3806589699574425
3916100,0.69,2.23,2.95,0.5812230215827336,0.1289333333333333,0.3798521427425944,0.5,0.5,0.5918758714275151,0.1307661487660431,0.3804928549232234
3916220,0.69,2.23,2.97,0.5812230215827336,0.1091999999999998,0.3991513738358286,0.5,0.5,0.5903942368696767,0.12845198760760673,0.3823859876773589
3916240,0.72,2.23,2.97,0.5888309352517983,0.1162499999999996,0.3938971916093202,0.5,0.5,0.5898321369844213,0.12703988264307003,0.38362620084410654
3916250,0.72,2.21,2.97,0.6048021582733811,0.1162499999999996,0.3978034123518288,0.5,0.5,0.5910040540438252,0.125729208748942,0.38517575603366383
3916390,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.4010713685679934,0.5,0.5,0.5915772518747715,0.12402243558800057,0.3869696654805316
3916400,0.7,2.21,2.97,0.5996942446043164,0.1115166666666664,0.4010713685679934,0.5,0.5,0.5921224390617159,0.12244404919455064,0.3886322680469115
3916540,0.72,2.21,2.97,0.6048021582733811,0.1162499999999996,0.3978034123518288,0.5,0.5,0.5931627710526319,0.12147317695272157,0.38982285422544266
3916550,0.72,2.21,2.97,0.6048021582733811,0.1162499999999996,0.3978034123518288,0.5,0.5,0.5941370044721481,0.12058311493924591,0.39092064192134285
3916670,0.72,2.21,2.95,0.6048021582733811,0.1359833333333331,0.3788028854033058,0.5,0.5,0.5950473356015703,0.12174958392823458,0.39000945278726407
3916690,0.7,2.21,2.95,0.5996942446043164,0.1312499999999999,0.3819888806067859,0.5,0.5,0.5953894520458287,0.12237293585241045,0.38948857125508984
3916700,0.7,2.19,2.95,0.6155215827338129,0.1312499999999999,0.3864217884350276,0.5,0.5,0.5972621468162491,0.122959959043716,0.3893829961459821
3916820,0.7,2.19,2.96,0.6155215827338129,0.1214,0.3958322827629463,0.5,0.5,0.5990013341781294,0.12255781525835636,0.39021002933240284
3916840,0.73,2.19,2.96,0.6232374100719422,0.12855,0.391359887751977,0.5,0.5,0.6013527727538728,0.12287504038046579,0.3905068753721674
